City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sorong,-0.8833,131.25,28.93,69,81,2.53,ID,1679024003
1,cidreira,-30.1811,-50.2056,24.44,87,1,9.29,BR,1679024004
2,saint anthony,45.0205,-93.218,-3.97,82,100,10.29,US,1679023827
3,albany,42.6001,-73.9662,1.44,77,59,1.23,US,1679023787
4,kurchum,48.5722,83.6542,0.32,96,100,1.19,KZ,1679024004
5,puerto ayora,-0.7393,-90.3518,26.97,89,5,0.89,EC,1679024005
6,arauco,-37.2463,-73.3175,14.92,95,100,1.38,CL,1679024005
7,daru,-9.0763,143.2092,25.51,88,100,3.37,PG,1679024005
8,la ronge,55.1001,-105.2842,-16.86,85,75,0.0,CA,1679024006
9,iqaluit,63.7506,-68.5145,-24.06,69,0,10.8,CA,1679024006
10,brodina,47.8833,25.4167,-0.98,93,15,1.85,RO,1679024007
11,tondano,1.3038,124.9112,28.05,73,100,0.48,ID,1679024007
12,hobart,-42.8794,147.3294,19.03,52,75,8.75,AU,1679023769
13,atuona,-9.8,-139.0333,26.95,78,80,7.5,PF,1679024008
14,mataura,-46.1927,168.8643,12.49,79,100,3.2,NZ,1679024008
15,luderitz,-26.6481,15.1594,16.59,96,65,3.09,NA,1679024009
16,punta arenas,-53.15,-70.9167,6.06,81,75,4.12,CL,1679023834
17,trairi,-3.2778,-39.2689,22.54,96,100,1.51,BR,1679023998
18,ushuaia,-54.8,-68.3,4.81,70,40,1.54,AR,1679024010
19,fairview,40.8126,-73.999,11.56,39,0,4.92,US,1679024010
20,rikitea,-23.1203,-134.9692,26.25,79,82,6.78,PF,1679024010
21,lata,40.1629,-8.3327,14.34,97,46,2.32,PT,1679024011
22,kapaa,22.0752,-159.319,26.18,78,20,5.66,US,1679023817
23,severo-kurilsk,50.6789,156.125,1.09,97,100,8.64,RU,1679024011
24,severnyy,50.677,36.5532,3.02,100,100,3.0,RU,1679024012
25,atar,20.5169,-13.0499,27.86,16,96,1.16,MR,1679024012
26,nishihara,26.1842,127.7558,24.82,72,75,7.2,JP,1679024013
27,elbrus,43.2577,42.6443,4.05,95,100,1.3,RU,1679024013
28,dunedin,-45.8742,170.5036,13.22,90,100,6.26,NZ,1679023839
29,yamada,39.4667,141.95,8.3,41,100,0.98,JP,1679024013
30,san juan,-31.5375,-68.5364,28.84,37,0,6.98,AR,1679023928
31,busselton,-33.65,115.3333,22.12,43,5,4.87,AU,1679024014
32,chokurdakh,70.6333,147.9167,-13.29,88,17,2.03,RU,1679024014
33,chuy,-33.6971,-53.4616,22.89,95,37,3.28,UY,1679023807
34,avarua,-21.2078,-159.775,28.03,78,66,2.57,CK,1679024015
35,nikolskoye,59.7035,30.7861,-8.06,96,60,1.37,RU,1679024015
36,arlit,18.7369,7.3853,22.72,13,4,2.89,NE,1679024016
37,yellowknife,62.456,-114.3525,-10.71,79,75,4.63,CA,1679024016
38,vaini,-21.2,-175.2,26.09,94,75,7.72,TO,1679024016
39,vic,41.9301,2.2549,11.04,85,87,0.38,ES,1679024017
40,zambezi,-13.5432,23.1047,15.71,97,88,2.1,ZM,1679024017
41,praia,14.9215,-23.5087,21.3,73,20,6.69,CV,1679024018
42,maribondo,-9.5772,-36.3053,22.77,85,66,0.8,BR,1679024018
43,ahuimanu,21.4447,-157.8378,27.7,77,40,3.58,US,1679024018
44,oda,35.1833,132.5,11.43,60,100,4.76,JP,1679024019
45,sorland,67.667,12.6934,-0.08,58,2,10.76,NO,1679024019
46,kodiak,57.79,-152.4072,0.73,69,100,4.12,US,1679024020
47,souillac,-20.5167,57.5167,25.21,94,75,1.54,MU,1679024020
48,biscarrosse,44.3945,-1.1672,10.97,87,0,4.12,FR,1679024020
49,hasaki,35.7333,140.8333,13.45,76,100,9.47,JP,1679024021
50,port lincoln,-34.7333,135.8667,26.08,57,56,6.25,AU,1679023831
51,george town,5.4112,100.3354,31.96,69,20,2.06,MY,1679024021
52,lebu,-37.6167,-73.65,13.24,91,100,4.73,CL,1679024022
53,constitucion,-35.3333,-72.4167,15.63,94,51,1.65,CL,1679024022
54,bluff,-46.6,168.3333,12.67,62,46,9.66,NZ,1679024023
